Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;464923;
Zonas Estadísticas;01;Municipio de Madrid ;231133;
Zonas Estadísticas;02;Norte Metropolitano ;24291;
Zonas Estadísticas;03;Este Metropolitano  ;48876;
Zonas Estadísticas;04;Sur Metropolitano   ;90545;
Zonas Estadísticas;05;Oeste Metropolitano ;29630;
Zonas Estadísticas;06;Sierra Norte        ;2909;
Zonas Estadísticas;07;Nordeste Comunidad  ;4834;
Zonas Estadísticas;08;Sudeste Comunidad   ;8497;
Zonas Estadísticas;09;Sudoeste Comunidad  ;11407;
Zonas Estadísticas;10;Sierra Sur          ;2530;
Zonas Estadísticas;11;Sierra Central      ;10271;
Municipios;0014;Acebeda (La);2;
Municipios;0029;Ajalvir;379;
Municipios;0035;Alameda del Valle;12;
Municipios;0040;Alamo (El);642;
Municipios;0053;Alcalá de Henares;12963;
Municipios;0066;Alcobendas;7688;
Municipios;0072;Alcorcón;9931;
Municipios;0088;Aldea del Fresno;268;
Municipios;0091;Algete;1236;
Municipios;0105;Alpedrete;814;
Municipios;0112;Ambite;46;
Municipios;0127;Anchuelo;108;
Municipios;0133;Aranjuez;3894;
Municipios;0148;Arganda del Rey;4492;
Municipios;0151;Arroyomolinos;2983;
Municipios;0164;Atazar (El);2;
Municipios;0170;Batres;103;
Municipios;0186;Becerril de la Sierra;348;
Municipios;0199;Belmonte de Tajo;149;
Municipios;0210;Berrueco (El);56;
Municipios;0203;Berzosa del Lozoya;9;
Municipios;0225;Boadilla del Monte;3452;
Municipios;0231;Boalo (El);455;
Municipios;0246;Braojos;12;
Municipios;0259;Brea de Tajo;22;
Municipios;0262;Brunete;643;
Municipios;0278;Buitrago del Lozoya;131;
Municipios;0284;Bustarviejo;175;
Municipios;0297;Cabanillas de la Sierra;63;
Municipios;0301;Cabrera (La);184;
Municipios;0318;Cadalso de los Vidrios;209;
Municipios;0323;Camarma de Esteruelas;511;
Municipios;0339;Campo Real;515;
Municipios;0344;Canencia;22;
Municipios;0357;Carabaña;168;
Municipios;0360;Casarrubuelos;313;
Municipios;0376;Cenicientos;120;
Municipios;0382;Cercedilla;477;
Municipios;0395;Cervera de Buitrago;7;
Municipios;0513;Chapinería;156;
Municipios;0528;Chinchón;368;
Municipios;0409;Ciempozuelos;1716;
Municipios;0416;Cobeña;486;
Municipios;0468;Collado Mediano;395;
Municipios;0474;Collado Villalba;4485;
Municipios;0455;Colmenar Viejo;4126;
Municipios;0437;Colmenar de Oreja;534;
Municipios;0421;Colmenar del Arroyo;137;
Municipios;0442;Colmenarejo;521;
Municipios;0480;Corpa;65;
Municipios;0493;Coslada;5374;
Municipios;0506;Cubas de la Sagra;451;
Municipios;0534;Daganzo de Arriba;559;
Municipios;0549;Escorial (El);993;
Municipios;0552;Estremera;85;
Municipios;0565;Fresnedillas de la Oliva;128;
Municipios;0571;Fresno de Torote;183;
Municipios;0587;Fuenlabrada;13140;
Municipios;0590;Fuente el Saz de Jarama;490;
Municipios;0604;Fuentidueña de Tajo;134;
Municipios;0611;Galapagar;2061;
Municipios;0626;Garganta de los Montes;27;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;17;
Municipios;0647;Gascones;19;
Municipios;0650;Getafe;13397;
Municipios;0663;Griñón;623;
Municipios;0679;Guadalix de la Sierra;406;
Municipios;0685;Guadarrama;987;
Municipios;0698;Hiruela (La);5;
Municipios;0702;Horcajo de la Sierra-Aoslos;18;
Municipios;0719;Horcajuelo de la Sierra;3;
Municipios;0724;Hoyo de Manzanares;491;
Municipios;0730;Humanes de Madrid;1449;
Municipios;0745;Leganés;11386;
Municipios;0758;Loeches;738;
Municipios;0761;Lozoya;41;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;86;
Municipios;0783;Madarcos;5;
Municipios;0796;Madrid;231133;
Municipios;0800;Majadahonda;4122;
Municipios;0822;Manzanares el Real;577;
Municipios;0838;Meco;1095;
Municipios;0843;Mejorada del Campo;1737;
Municipios;0856;Miraflores de la Sierra;443;
Municipios;0869;Molar (El);764;
Municipios;0875;Molinos (Los);261;
Municipios;0881;Montejo de la Sierra;12;
Municipios;0894;Moraleja de Enmedio;384;
Municipios;0908;Moralzarzal;673;
Municipios;0915;Morata de Tajuña;536;
Municipios;0920;Móstoles;15091;
Municipios;0936;Navacerrada;184;
Municipios;0941;Navalafuente;132;
Municipios;0954;Navalagamella;190;
Municipios;0967;Navalcarnero;2488;
Municipios;0973;Navarredonda y San Mamés;11;
Municipios;0992;Navas del Rey;228;
Municipios;1006;Nuevo Baztán;505;
Municipios;1013;Olmeda de las Fuentes;15;
Municipios;1028;Orusco de Tajuña;76;
Municipios;1049;Paracuellos de Jarama;1804;
Municipios;1065;Parla;9770;
Municipios;1071;Patones;42;
Municipios;1087;Pedrezuela;457;
Municipios;1090;Pelayos de la Presa;204;
Municipios;1104;Perales de Tajuña;217;
Municipios;1111;Pezuela de las Torres;74;
Municipios;1126;Pinilla del Valle;12;
Municipios;1132;Pinto;4195;
Municipios;1147;Piñuécar-Gandullas;14;
Municipios;1150;Pozuelo de Alarcón;4438;
Municipios;1163;Pozuelo del Rey;122;
Municipios;1179;Prádena del Rincón;8;
Municipios;1185;Puebla de la Sierra;7;
Municipios;9020;Puentes Viejas;48;
Municipios;1198;Quijorna;248;
Municipios;1202;Rascafría;98;
Municipios;1219;Redueña;26;
Municipios;1224;Ribatejada;59;
Municipios;1230;Rivas-Vaciamadrid;7994;
Municipios;1245;Robledillo de la Jara;6;
Municipios;1258;Robledo de Chavela;294;
Municipios;1261;Robregordo;5;
Municipios;1277;Rozas de Madrid (Las);5976;
Municipios;1283;Rozas de Puerto Real;28;
Municipios;1296;San Agustín del Guadalix;757;
Municipios;1300;San Fernando de Henares;2713;
Municipios;1317;San Lorenzo de El Escorial;967;
Municipios;1338;San Martín de Valdeiglesias;580;
Municipios;1322;San Martín de la Vega;1417;
Municipios;1343;San Sebastián de los Reyes;6402;
Municipios;1356;Santa María de la Alameda;104;
Municipios;1369;Santorcaz;50;
Municipios;1375;Santos de la Humosa (Los);224;
Municipios;1381;Serna del Monte (La);11;
Municipios;1408;Serranillos del Valle;317;
Municipios;1415;Sevilla la Nueva;549;
Municipios;1436;Somosierra;1;
Municipios;1441;Soto del Real;487;
Municipios;1454;Talamanca de Jarama;328;
Municipios;1467;Tielmes;205;
Municipios;1473;Titulcia;91;
Municipios;1489;Torrejón de Ardoz;10459;
Municipios;1505;Torrejón de Velasco;302;
Municipios;1492;Torrejón de la Calzada;818;
Municipios;1512;Torrelaguna;312;
Municipios;1527;Torrelodones;1231;
Municipios;1533;Torremocha de Jarama;51;
Municipios;1548;Torres de la Alameda;492;
Municipios;9036;Tres Cantos;3596;
Municipios;1551;Valdaracete;43;
Municipios;1564;Valdeavero;140;
Municipios;1570;Valdelaguna;59;
Municipios;1586;Valdemanco;54;
Municipios;1599;Valdemaqueda;45;
Municipios;1603;Valdemorillo;760;
Municipios;1610;Valdemoro;5159;
Municipios;1625;Valdeolmos-Alalpardo;303;
Municipios;1631;Valdepiélagos;46;
Municipios;1646;Valdetorres de Jarama;356;
Municipios;1659;Valdilecha;249;
Municipios;1662;Valverde de Alcalá;43;
Municipios;1678;Velilla de San Antonio;961;
Municipios;1684;Vellón (El);155;
Municipios;1697;Venturada;128;
Municipios;1718;Villa del Prado;500;
Municipios;1701;Villaconejos;234;
Municipios;1723;Villalbilla;1582;
Municipios;1739;Villamanrique de Tajo;55;
Municipios;1744;Villamanta;186;
Municipios;1757;Villamantilla;110;
Municipios;1782;Villanueva de Perales;122;
Municipios;1760;Villanueva de la Cañada;1321;
Municipios;1776;Villanueva del Pardillo;929;
Municipios;1795;Villar del Olmo;167;
Municipios;1809;Villarejo de Salvanés;526;
Municipios;1816;Villaviciosa de Odón;1410;
Municipios;1821;Villavieja del Lozoya;17;
Municipios;1837;Zarzalejo;107;
